# binIdx ctxIdx symbol range offset
1120 255 1 398 170
1121 255 1 363 170
1122 255 1 335 170
1123 255 1 308 170
1124 255 1 287 170
1125 255 1 267 170
1126 255 1 496 341
1127 255 1 466 341
1128 255 1 438 341
1129 255 1 415 341
1130 255 1 393 341
1131 255 1 372 341
1132 -1 1 372 310
1133 -1 1 372 249
1134 -1 1 372 126
1135 -1 0 372 252
1136 -1 1 372 132
1137 -1 0 372 265
1138 -1 1 372 159
1139 -1 0 372 319
1140 247 1 349 319
1141 256 1 336 319
1142 256 1 324 319
1143 256 0 384 255
1144 -1 1 384 127
1145 247 1 358 127
1146 256 1 330 127
1147 256 1 303 127
1148 256 1 282 127
1149 256 1 262 127
1150 256 1 486 255
1151 256 1 456 255
1152 256 1 428 255
1153 256 1 405 255
1154 256 1 383 255
1155 256 1 365 255
1156 256 1 348 255
1157 256 1 332 255
1158 256 1 317 255
1159 -1 1 317 194
1160 -1 1 317 72
1161 -1 0 317 145
1162 -1 0 317 290
1163 -1 1 317 263
1164 -1 1 317 209
1165 247 1 300 209
1166 256 1 288 209
1167 256 1 277 209
1168 256 1 266 209
1169 256 1 256 209
1170 256 1 492 419
1171 256 1 477 419
1172 256 1 463 419
1173 256 1 449 419
1174 256 1 436 419
1175 256 1 425 419
1176 256 0 320 135
1177 -1 0 320 271
1178 247 1 300 271
1179 256 1 279 271
1180 256 0 320 199
1181 -1 1 320 78
1182 247 1 301 78
1183 256 1 268 78
1184 256 1 472 157
1185 256 1 422 157
1186 256 1 381 157
1187 256 1 348 157
1188 256 1 317 157
1189 256 1 293 157
1190 256 1 270 157
1191 256 1 496 314
1192 256 1 461 314
1193 256 1 428 314
1194 256 1 401 314
1195 256 1 375 314
1196 -1 1 375 253
1197 -1 1 375 132
1198 -1 0 375 264
1199 -1 1 375 154
1200 -1 0 375 309
1201 -1 1 375 244
1202 247 1 357 244
1203 256 1 336 244
1204 256 1 316 244
1205 256 1 301 244
1206 256 1 287 244
1207 256 1 273 244
1208 256 1 260 244
1209 256 1 496 488
1210 256 0 320 207
1211 -1 1 320 95
1212 247 1 303 95
1213 256 1 277 95
1214 256 1 506 191
1215 256 1 467 191
1216 256 1 430 191
1217 256 1 400 191
1218 256 1 371 191
1219 256 1 348 191
1220 256 1 326 191
1221 256 1 305 191
1222 256 1 289 191
1223 256 1 274 191
1224 256 1 260 191
1225 256 1 492 382
1226 -1 1 492 272
1227 -1 1 492 52
1228 -1 0 492 105
1229 -1 0 492 211
1230 -1 0 492 422
1231 -1 1 492 353
1232 247 1 470 353
1233 256 1 448 353
1234 256 1 427 353
1235 256 1 410 353
1236 256 1 394 353
1237 256 1 379 353
1238 256 1 367 353
1239 256 1 355 353
1240 256 0 352 305
1241 -1 1 352 258
1242 247 1 337 258
1243 256 1 309 258
1244 256 1 287 258
1245 256 1 266 258
1246 256 0 320 202
1247 -1 1 320 85
1248 247 1 306 85
1249 256 1 273 85
1250 256 1 482 170
1251 256 1 432 170
1252 256 1 391 170
1253 256 1 352 170
1254 256 1 321 170
1255 256 1 291 170
1256 256 1 268 170
1257 256 1 492 340
1258 256 1 457 340
1259 256 1 424 340
1260 256 1 397 340
1261 256 1 371 340
1262 -1 1 371 310
1263 -1 1 371 249
1264 -1 1 371 127
1265 -1 0 371 254
1266 -1 1 371 138
1267 -1 0 371 276
1268 -1 1 371 181
1269 -1 0 371 362
1270 247 0 448 184
1271 -1 0 448 368
1272 247 1 405 368
1273 256 1 380 368
1274 256 0 320 140
1275 -1 0 320 280
1276 96 1 300 280
1277 134 0 320 4
1278 135 1 279 4
1279 196 0 273 4
1280 136 1 488 9
1281 197 0 479 9
1282 137 1 380 9
1283 198 0 373 9
1284 138 1 325 9
1285 199 0 318 9
1286 139 1 270 9
1287 200 0 264 9
1288 140 1 328 19
1289 201 0 321 19
1290 141 1 256 19
1291 202 0 500 39
1292 142 1 406 39
1293 203 0 398 39
1294 143 1 312 39
1295 204 0 303 39
1296 144 1 500 78
1297 205 0 484 78
1298 145 1 356 78
1299 206 0 342 78
1300 146 1 257 78
1301 207 0 478 156
1302 147 1 343 156
1303 208 0 315 156
1304 148 1 506 312
1305 209 0 407 312
1306 248 1 320 131
1307 252 1 281 131
1308 252 1 502 263
1309 252 1 454 263
1310 252 1 409 263
1311 252 1 372 263
1312 252 1 342 263
1313 252 1 314 263
1314 252 1 292 263
1315 252 1 271 263
1316 252 0 320 206
1317 -1 1 320 92
1318 247 1 290 92
1319 253 1 448 184
1320 253 1 344 184
1321 253 1 272 184
1322 253 1 432 368
1323 253 0 308 54
1324 -1 0 308 109
1325 247 1 285 109
1326 254 1 464 218
1327 254 1 379 218
1328 254 1 320 218
1329 254 1 264 218
1330 254 1 442 436
1331 254 0 472 430
1332 -1 1 472 388
